"event_type","user_id","episode_id","timestamp","duration"
"pause","usr_fbeee74e9f","epi_b85ea597ba","2025-05-07T03:18:25",""
"complete","usr_2b4764407b","epi_7ffb519545","2025-03-23T03:43:24","4356"
"pause","usr_3bbc3c1283","epi_ac4e57d503","2025-10-16T09:38:15",""
"complete","usr_d8a047d020","epi_7b68a0f8ca","2026-02-27T16:47:21","658"
"complete","usr_3e16c37a3a","epi_4ea411a5df","2026-02-21T07:10:22","1242"
"complete","usr_b3402f0e6b","epi_663188493b","2025-08-11T07:21:40","8295"
"complete","usr_77e31e8610","epi_a193a2bcef","2025-11-29T20:09:35","1554"
"play","usr_3c0d308a20","epi_b82c2d7cdc","2025-03-01T06:48:46","38596"
"play","usr_3c0d308a20","epi_7b987ba739","2025-03-16T20:04:20","4826"
"seek","usr_d2c41ed523","epi_663efe65f3","2026-02-25T02:26:25",""
"play","usr_b9e69fb583","epi_d4ba40e28c","2025-11-12T22:02:56","1887"
"download","usr_88f979d10e","epi_5b078ce15d","2025-10-02T21:01:06",""
"pause","usr_adc5f1a97d","epi_9432b55df3","2025-09-14T01:40:24",""
"play","usr_790c3d8c5f","epi_aa5ff8789c","2025-07-11T22:14:12","919"
"pause","usr_129ed2ad3f","epi_20c2e619aa","2025-12-02T16:25:57",""
"complete","usr_7b45e65081","epi_aa5ff8789c","2025-12-19T08:39:27","760"
"seek","usr_8e00824752","epi_4e2999964d","2025-02-03T09:20:25",""
"complete","usr_ebdf1c223e","epi_dd80165b34","2025-07-07T06:37:01","9475"
"seek","usr_63cd0303a9","epi_1d077a5c8b","2025-10-26T15:19:45",""
"complete","usr_f14ac454a3","epi_d657307fd9","2025-04-10T02:06:25","800"
"seek","usr_da06c64e03","epi_d4ba40e28c","2025-05-27T05:46:54",""
"seek","usr_c3d8a1fe6f","epi_ec88cc366f","2025-03-05T04:02:01",""
"complete","usr_7dcb7f68e3","epi_4ce9ecde6d","2025-10-27T19:03:32","38164"
"complete","usr_4c7e9f1978","epi_4f5f3fb954","2025-10-30T04:16:25","18151"
"download","usr_ab36ed7168","epi_0e6fc5fdc2","2026-01-11T18:40:55",""
"pause","usr_790c3d8c5f","epi_da05c90deb","2025-04-26T17:51:20",""
"play","usr_7290e2889c","epi_1bcf507eab","2025-09-17T01:42:43","21148"
"complete","usr_b82279d8cd","epi_3cb46d83ea","2025-12-27T07:11:16","8018"
"play","usr_4d256e4acf","epi_fffb0f3250","2025-11-04T12:54:02","39661"
"play","usr_f1f98f10f4","epi_5e97f26242","2025-03-06T23:33:42","56169"
"complete","usr_3bbc3c1283","epi_8985cbbaef","2025-06-09T15:39:25","1790"
"seek","usr_5755e5ce96","epi_1d077a5c8b","2025-08-25T00:36:56",""
"play","usr_3366223bdf","epi_7b987ba739","2025-11-23T06:42:27","899"
"seek","usr_790c3d8c5f","epi_df3c63da7d","2025-08-16T16:09:52",""
"play","usr_368c704b2e","epi_ea01ee18bf","2026-02-04T10:20:53","56167"
"seek","usr_89e3ea025b","epi_1960247f80","2025-10-28T14:51:53",""
"complete","usr_a92a999985","epi_20c2e619aa","2025-04-22T16:28:11","598"
"complete","usr_3e16c37a3a","epi_93c1db10e7","2025-08-17T18:54:12",""
"pause","usr_3a04c73457","epi_88ae1b09e9","2025-12-25T16:40:38",""
"seek","usr_6130e5d000","epi_5374b0822c","2025-03-16T17:19:09",""
"seek","usr_4d256e4acf","epi_75ece8808f","2025-03-16T10:57:57",""
"play","usr_340d80ebd0","epi_75ece8808f","2025-06-28T00:17:17","7750"
"play","usr_02db3fd4b0","epi_1229fc565f","2025-03-08T05:32:42","988"
"pause","usr_da945d234f","epi_5d97fb5e2b","2025-10-27T00:34:02",""
"play","usr_89e3ea025b","epi_64fd889dfa","2026-01-07T12:33:31","7013"
"play","","epi_354b6572e2","2025-02-23T10:04:15","1758"
"complete","usr_f1f98f10f4","epi_5a511fee18","2025-04-08T01:29:08","1199"
"pause","usr_4d256e4acf","epi_1bcf507eab","2025-12-12T15:01:14",""
"seek","usr_42d79ec20a","epi_66a07390d6","2025-08-21T13:03:59",""
"seek","usr_b8cfec6848","epi_5a58e1e286","2025-08-07T13:04:59",""
"download","usr_27853bd7f3","epi_61eee9e710","2025-01-11T02:49:34",""
"pause","usr_340d80ebd0","epi_75ece8808f","2025-06-27T21:27:46",""
"pause","usr_9953c9ff92","epi_70b38de541","2026-02-27T05:36:03",""
"pause","usr_63cd0303a9","epi_eea76c134c","2025-09-28T11:07:50",""
"pause","usr_3366223bdf","epi_145f3317fe","2025-01-04T09:50:00",""
"pause","usr_7dcb7f68e3","epi_7b68a0f8ca","2025-04-28T08:19:23",""
"complete","usr_499afca1f5","epi_1bcf507eab","2025-07-26T11:14:55","1168"
"complete","usr_eecf8669d2","epi_f2bd927f27","","3332"
"pause","usr_7d60accf14","epi_f2bd927f27","2025-12-17T00:55:46",""
"play","usr_3081a64466","epi_8a58bc7828","2025-09-15T16:54:20","4917"
"complete","usr_8a4eb58c18","epi_7be1873915","2025-10-05T18:07:46","981"
"download","usr_58e7252c00","epi_05fa3c96f9","2026-02-28T03:48:34",""
"pause","usr_9b8d1bf627","epi_eba7ff25a8","2025-05-02T15:19:16",""
"play","usr_a3655d5570","epi_caae44d0f9","2025-04-26T16:06:44","155"
"pause","usr_4caef7f6f6","epi_44dcb77b20","2026-01-19T19:04:18",""
"seek","usr_600b2e24fb","epi_eea76c134c","2025-11-14T07:25:27",""
"play","usr_2549b15396","epi_6066e13c1f","2025-09-03T03:09:21","8017"
"download","usr_60219ee1e4","epi_0e6fc5fdc2","2026-02-06T21:48:19",""
"play","usr_4d256e4acf","epi_5a511fee18","2026-01-03T17:51:17","1716"
"play","usr_ef41833bb7","epi_d7d8bf599a","2025-06-28T15:41:24","44952"
"complete","usr_b616c164d9","epi_fe1c9050b2","2025-11-28T02:57:22","3795"
"complete","usr_b8d08cb198","epi_ee8c7011d5","2025-11-28T08:16:27","2465"
"seek","usr_a947db40fa","epi_f25baa556e","2025-10-20T19:48:45",""
"pause","usr_a990dbb74d","epi_fe1c9050b2","2025-09-19T08:39:41",""
"complete","usr_b242a066e7","epi_05fa3c96f9","2025-02-09T17:08:15","335"
"pause","usr_a6b814b108","epi_22d5608727","2025-06-10T17:16:02",""
"download","usr_ff9f348373","epi_64fd889dfa","2025-11-23T19:47:47",""
"seek","usr_27853bd7f3","epi_bd5fd8548f","2025-08-23T03:33:26",""
"pause","usr_92748b5cc8","epi_8a58bc7828","2025-02-03T13:49:45",""
"play","","epi_b288b8f71a","2025-12-31T03:07:38","7821"
"seek","usr_600b2e24fb","epi_873337b934","2025-09-23T17:15:38",""
"play","usr_35e24b19f0","epi_fd99f9d134","2025-08-15T00:36:09","2163"
"complete","usr_790c3d8c5f","epi_663efe65f3","2025-06-02T05:35:19","2027"
"play","usr_0e31236aa8","epi_7ad581ca2e","2025-05-12T15:32:34","2593"
"complete","usr_368c704b2e","epi_645be532b0","2025-12-05T21:09:51","1935"
"seek","usr_3c0d308a20","epi_f6a942be33","2026-02-08T01:05:33",""
"complete","usr_09504af238","epi_f0f24935b7","2025-10-22T18:36:04","205"
"seek","usr_27853bd7f3","epi_9fc7ced863","2025-07-30T23:53:29",""
"pause","usr_3e16c37a3a","epi_eea76c134c","2025-03-26T06:59:47",""
"pause","usr_0c08aa1860","epi_850a17ab36","2025-11-15T02:41:14",""
"complete","usr_3366223bdf","epi_f6a942be33","2025-01-03T12:48:45","1122"
"pause","usr_600b2e24fb","epi_eea76c134c","2026-02-18T21:17:39",""
"pause","usr_4c7e9f1978","epi_eba7ff25a8","2026-01-31T21:10:26",""
"seek","usr_2549b15396","","2026-01-20T18:05:17",""
"play","usr_cac517176f","epi_93c1db10e7","2026-02-27T04:35:14","2367"
"seek","usr_9cfcfcdca6","epi_7b68a0f8ca","2025-05-01T00:22:42",""
"play","usr_af22967d11","epi_c299a17f5a","2025-08-05T19:23:46","1970"
"seek","","epi_a9ada448c6","2026-01-11T04:50:45",""
"complete","usr_046c4e1190","epi_712f26b469","2025-03-19T07:35:45","2015"
"pause","usr_df58d9f5c2","epi_7c270d65b5","2025-08-13T20:02:09",""
"seek","usr_6a9063de26","epi_ac4e57d503","2026-01-24T22:52:02",""
"pause","usr_f9cbc59be0","epi_093cc7c56e","2025-06-14T06:38:43",""
"play","usr_7f9641d246","epi_93c1db10e7","2025-05-13T10:03:15","34298"
"play","usr_b8cfec6848","epi_f6a942be33","2025-08-20T08:04:29","450"
"play","usr_1201d3d757","epi_924bf38499","2025-03-09T16:21:14","14935"
"pause","usr_09ea5cf500","epi_f6a942be33","2025-07-31T02:45:52",""
"download","","epi_73f5593b4b","2025-04-07T01:39:09",""
"complete","usr_7bdc501b6f","epi_7be1873915","2025-06-30T23:26:06","21363"
"play","usr_664cc6f699","epi_194b4b188d","2025-09-08T21:26:39","1320"
"play","usr_b7a5c4bedf","epi_d1fd1fa9d6","2026-01-12T22:49:05","19722"
"pause","usr_b1568722ef","epi_5081948a0d","2025-11-06T08:05:38",""
"seek","usr_3649e951f7","epi_d90e1231ba","2026-01-29T03:01:55",""
"seek","usr_3366223bdf","epi_76e2beba79","2025-08-13T17:30:02",""
"seek","usr_b1568722ef","epi_265610a62a","2025-01-06T01:17:12",""
"seek","usr_f85c42024d","epi_93c1db10e7","2025-10-26T20:26:30",""
"complete","usr_0e1abcc91a","epi_26d485a132","2025-12-02T14:06:44","1304"
"seek","usr_973a579e01","epi_05fa3c96f9","2025-01-05T01:04:34",""
"seek","usr_27853bd7f3","epi_b48b099724","2025-12-29T02:09:48",""
"pause","usr_046c4e1190","epi_d90e1231ba","2025-01-23T22:36:16",""
"seek","usr_046c4e1190","epi_96f0bd0546","2025-08-02T04:00:00",""
"download","usr_7dcb7f68e3","epi_64fd889dfa","2025-05-10T20:01:06",""
"pause","usr_87e6c4f7bd","epi_7ad581ca2e","2025-02-24T13:23:20",""
"pause","usr_b91f4b1c49","epi_e9b68a4b8a","2026-02-06T23:15:07",""
"seek","usr_2dc162352a","epi_05fa3c96f9","2025-11-20T00:41:52",""
"download","usr_4fd63118b4","epi_eae336781a","2025-11-24T09:01:02",""
"pause","usr_92748b5cc8","epi_a2b098d528","2025-09-17T04:22:35",""
"seek","usr_3c0d308a20","epi_b5d6a08b9e","2025-09-22T21:01:24",""
"play","usr_0c08aa1860","epi_9988d05e11","2025-10-31T04:33:43","2262"
"seek","usr_cac517176f","epi_ec88cc366f","2026-02-26T06:50:17",""
"pause","usr_673100b81a","epi_f68383e360","2025-03-10T19:58:12",""
"download","usr_38d4e6e544","epi_f2bd927f27","2026-02-20T23:52:30",""
"seek","usr_36890db52d","epi_c1e35bedf3","2025-04-19T06:08:55",""
"pause","usr_f86fbd6c84","epi_6066e13c1f","2026-01-31T19:24:14",""
"complete","usr_3366223bdf","epi_03a06892a4","2025-11-01T15:32:20","2286"
"seek","usr_92748b5cc8","epi_354b6572e2","2025-11-07T05:22:45",""
"complete","usr_4c7014070e","epi_64fd889dfa","2025-12-07T14:00:04","1944"
"play","usr_6130e5d000","epi_663188493b","2025-01-11T05:57:46","24483"
"pause","usr_27853bd7f3","epi_ad0822ed24","2025-01-10T21:57:43",""
"seek","usr_0ba94d6728","epi_8985cbbaef","2025-05-29T16:11:50",""
"pause","usr_6130e5d000","epi_c8d4d52cdb","2025-12-29T22:08:51",""
"seek","usr_499afca1f5","epi_d1fd1fa9d6","2025-08-27T11:29:39",""
"complete","usr_5ef3374993","epi_78bb8b6d5c","2025-08-06T12:08:33","1266"
"download","usr_4c7e9f1978","epi_d90e1231ba","2025-12-06T23:48:14",""
"complete","usr_476c52671a","epi_b689da864d","2025-09-01T17:50:16","13125"
"complete","usr_046c4e1190","epi_26d485a132","2025-02-27T21:56:03","949"
"pause","usr_60a1c7d137","epi_fab70d670e","2025-06-23T03:59:19",""
"play","","epi_20c2e619aa","2025-03-03T09:01:41","2457"
"play","usr_35b64fab1c","epi_7b987ba739","2025-11-30T06:42:08","5573"
"seek","usr_83ba3a4ee5","epi_c1e35bedf3","2025-11-18T14:36:39",""
"play","usr_664cc6f699","epi_4ce9ecde6d","2026-01-07T03:10:40","2470"
"complete","usr_31f75984e7","epi_4ce9ecde6d","2025-02-26T03:48:56","8714"
"pause","usr_9323cd6a9c","epi_93c1db10e7","2025-04-26T20:56:14",""
"play","usr_6130e5d000","epi_0de4e80d2e","2025-07-30T23:16:28","1084"
"complete","usr_3e16c37a3a","epi_88ae1b09e9","2025-04-15T05:33:03","1286"
"complete","usr_3c0d308a20","epi_a4e779137e","2025-07-24T08:53:31","4061"
"play","usr_4c7e9f1978","epi_7ad581ca2e","2025-12-24T03:30:32","546"
"complete","usr_a4d21f31cc","epi_e1a6362bd9","2025-09-05T01:43:49","2129"
"seek","usr_b616c164d9","epi_8a58bc7828","2025-11-01T16:51:16",""
"pause","usr_258cfa779e","epi_caae44d0f9","2025-02-22T19:56:51",""
"complete","usr_046c4e1190","epi_2a37101ac0","2025-01-05T01:26:09","2167"
"seek","usr_604015a28b","epi_fffb0f3250","2025-07-12T01:35:36",""
"play","usr_7bdc501b6f","epi_0fa0f70d84","2025-09-17T22:08:50","22098"
"seek","usr_808ac4245b","epi_a9494133ec","2025-08-08T11:09:07",""
"complete","usr_790c3d8c5f","epi_05fa3c96f9","2025-09-03T14:37:23","936"
"complete","usr_ef8dfbdace","epi_acdd064502","2025-10-09T07:21:38","1508"
"complete","usr_abb808950c","epi_e97bac8271","2025-08-03T20:37:41","25007"
"seek","usr_03b1a66d05","epi_783e510aec","2025-02-09T15:05:26",""
"pause","usr_bebf6b6d3d","epi_f0fbcc106d","2025-10-18T11:03:04",""
"play","usr_f7faf46313","epi_64fd889dfa","2026-02-09T07:05:56","7555"
"seek","usr_83ba3a4ee5","epi_d7d8bf599a","2025-05-06T07:19:34",""
"complete","usr_b91f4b1c49","epi_7b987ba739","2025-10-11T22:04:13","5854"
"complete","usr_5685c7545e","epi_064d581ad2","2026-01-03T12:36:06","42146"
"pause","usr_3c0d308a20","epi_f0f24935b7","2026-02-24T14:00:15",""
"seek","usr_b91f4b1c49","epi_f6a942be33","2025-11-19T19:40:54",""
"play","usr_78f5833ad2","epi_88ae1b09e9","2025-12-26T14:43:56","3138"
"play","usr_3e16c37a3a","epi_73f5593b4b","2025-06-21T01:27:34","1636"
"pause","usr_0d37f4fcdf","epi_ea01ee18bf","2025-01-29T02:05:43",""
"pause","usr_664cc6f699","epi_1d077a5c8b","2025-03-04T00:14:05",""
"pause","usr_f86fbd6c84","epi_6066e13c1f","2025-11-27T16:27:27",""
"complete","usr_0e1abcc91a","epi_d952ff83c5","2025-07-13T06:08:48","2686"
"seek","usr_476c52671a","epi_87e2958a70","2025-10-25T03:16:13",""
"complete","usr_79a3e3134d","epi_93c1db10e7","2025-05-03T22:35:31","27068"
"seek","usr_502caf62ea","epi_81780ac614","2026-02-07T10:10:28",""
"play","usr_63cd0303a9","epi_93c1db10e7","2025-03-21T18:14:30","1902"
"seek","usr_3fb995e8d0","epi_93c1db10e7","2025-09-27T05:11:33",""
"seek","usr_7f9641d246","epi_f0f24935b7","2026-02-06T20:20:29",""
"seek","usr_5ac1c38f2e","epi_d7d8bf599a","2026-02-12T05:47:35",""
"pause","usr_6130e5d000","epi_064d581ad2","2025-08-23T15:43:17",""
"seek","usr_3e16c37a3a","epi_78bb8b6d5c","2025-03-04T12:49:03",""
"seek","usr_ab36ed7168","epi_81780ac614","2026-01-14T22:48:05",""
"seek","usr_e5460275f4","epi_e9b68a4b8a","2025-06-09T16:54:04",""
"play","usr_673100b81a","epi_d170c98664","2025-01-19T16:31:10","45998"
"pause","usr_3183b9a801","epi_cc1c0fce21","2025-09-11T16:32:24",""
"pause","usr_e5460275f4","epi_783e510aec","2026-01-24T02:12:36",""
"play","usr_b3e18cd2b5","epi_93c1db10e7","2026-02-03T14:42:36","1658"
"pause","usr_b3e18cd2b5","epi_9c4260dbfb","2026-01-04T01:21:29",""
"pause","usr_a2f592dce1","epi_064d581ad2","2025-08-18T14:16:59",""
"seek","usr_3fbde254c4","epi_1d077a5c8b","2025-10-22T22:07:28",""
"complete","usr_6130e5d000","epi_265610a62a","2025-06-26T15:39:38","14558"
"complete","usr_258cfa779e","epi_fe1c9050b2","2025-08-09T04:41:11","24883"
"play","usr_1b0522934c","epi_a4e779137e","2025-09-02T17:19:00","4384"
"pause","usr_6c56986a46","epi_bd5fd8548f","2025-07-26T04:20:27",""
"pause","usr_0e01d097c8","epi_b89e8c025d","2025-04-12T05:01:59",""
"complete","usr_87e6c4f7bd","epi_064d581ad2","2025-01-19T03:41:31","581"
"pause","usr_3104c649ab","epi_7b987ba739","2025-03-28T18:28:48",""
"pause","usr_94aac51957","epi_f68383e360","2026-02-14T08:31:56",""
"pause","usr_60a1c7d137","epi_4f5f3fb954","2025-11-16T14:55:52",""
"complete","usr_905060c4cd","epi_eba7ff25a8","2025-10-23T20:20:27","3780"
"complete","usr_ce06e6a606","epi_eba8852bb1","2025-06-30T14:58:31","1803"
"pause","usr_4c15c22ac3","epi_22d5608727","2025-11-21T11:32:22",""
"seek","usr_9abe85773d","epi_a9ada448c6","2026-01-24T20:31:32",""
"play","usr_9a5cf290cb","epi_f0f24935b7","2026-01-03T03:10:57","2599"
"play","usr_a00df0ac64","epi_6a59a21550","2026-01-16T19:56:35","33094"
"play","usr_5ac1c38f2e","epi_663188493b","2025-06-18T01:31:11","2243"
"complete","usr_8a0ab4a451","epi_6464c374a3","2025-09-21T19:42:08","9603"
"play","usr_cf3005d2c8","","2025-10-07T23:27:06","2197"
"play","usr_bf4a54ac16","epi_d7d8bf599a","2025-03-06T01:46:39","1363"
"complete","usr_57227933d1","epi_ec88cc366f","2025-09-01T00:37:48","1514"
"play","usr_83159f5c42","epi_960455560c","2025-07-22T23:07:48","52933"
"play","usr_340d80ebd0","epi_265610a62a","","36313"
"pause","usr_5685c7545e","epi_554343c582","2025-12-07T02:28:21",""
"seek","usr_7dcb7f68e3","epi_3f79340193","2025-05-11T22:33:59",""
"play","usr_a8420b4bc5","epi_caae44d0f9","2025-09-25T01:32:29","2375"
"play","usr_0d6f5e0a25","epi_c299a17f5a","2026-02-09T22:59:28","633"
"play","usr_7edf27a75c","epi_eba8852bb1","2025-10-15T19:53:11","21649"
"download","usr_664cc6f699","epi_1d077a5c8b","2025-07-04T21:15:12",""
"play","usr_4fb6e40668","epi_0087ad003a","2026-01-20T22:50:52","2430"
"play","usr_b7fe07b2b7","epi_61eee9e710","2026-02-23T17:02:37","1694"
"complete","usr_2f07185a35","epi_638a43c60b","2025-10-02T16:10:23","10709"
"play","","epi_ee8c7011d5","2025-08-23T12:49:52","2333"
"complete","usr_36890db52d","epi_ad0822ed24","2026-01-08T23:49:37","25501"
"pause","usr_4bb8738d27","epi_93634437fe","2025-07-29T15:40:05",""
"play","usr_7bdc501b6f","epi_6a2c89fc18","2026-01-16T02:59:35","2068"
"pause","usr_49791f8a53","epi_1960247f80","2026-02-06T18:58:52",""
"complete","usr_c3d8a1fe6f","epi_145f3317fe","2025-09-26T13:14:19","1453"
"play","usr_27853bd7f3","epi_bd5fd8548f","2026-02-05T02:45:42","43083"
"play","usr_1d0c983bc2","epi_87e2958a70","2025-03-14T22:33:21","36206"
"seek","usr_bebf6b6d3d","epi_a9ada448c6","2025-12-04T11:25:33",""
"seek","usr_3366223bdf","epi_f6a942be33","2025-01-13T14:59:07",""
"play","usr_45945a0181","epi_cc1c0fce21","2025-07-19T06:55:15","11807"
"complete","usr_31f3699eac","epi_1d077a5c8b","2026-01-29T19:31:28","17298"
"seek","usr_c33cfe307a","epi_ac4e57d503","2025-11-21T18:23:30",""
"complete","usr_ff9f348373","epi_e9b68a4b8a","2025-10-31T10:52:24","1733"
"download","usr_fe06cc8e10","epi_a028fb2d97","2025-09-27T13:30:48",""
"seek","usr_b616c164d9","epi_1fa805e803","2025-07-05T10:51:59",""
"play","usr_61499df046","epi_caae44d0f9","2025-06-15T09:49:27","1502"
"complete","usr_81b580c120","epi_93634437fe","2025-08-10T08:39:01","2932"
"seek","usr_1b0522934c","epi_87c1b3892a","2025-10-21T11:15:00",""
"play","usr_3e16c37a3a","epi_6a59a21550","2025-02-13T01:07:56","37297"
"pause","usr_a92a999985","epi_663188493b","2026-02-07T04:50:38",""
"pause","usr_49791f8a53","epi_8a58bc7828","2025-12-30T11:18:03",""
"pause","usr_f1f98f10f4","epi_cc1c0fce21","2025-10-24T16:37:32",""
"pause","usr_0e01d097c8","epi_888c4c6ce7","2025-12-21T00:01:43",""
"complete","usr_eba23daeb3","epi_b82c2d7cdc","2025-03-31T00:24:16","2164"
"seek","usr_f85c42024d","epi_093cc7c56e","2025-04-26T15:39:58",""
"pause","usr_02db3fd4b0","epi_eea76c134c","2025-07-29T16:53:00",""
"download","usr_27853bd7f3","epi_3d1e181e04","2025-09-26T14:48:02",""
"play","usr_94aac51957","epi_e9b68a4b8a","2025-10-27T06:19:34","1616"
"complete","usr_a431f1e5f4","epi_ee8c7011d5","2025-12-18T04:04:23","737"
"pause","usr_3e16c37a3a","epi_eea76c134c","2025-04-18T23:42:09",""
"pause","usr_9aab146109","","2025-08-26T04:03:25",""
"download","usr_3c0d308a20","epi_f68383e360","2025-11-10T22:45:20",""
"seek","usr_16a2d6c960","epi_20c2e619aa","2025-12-30T09:00:37",""
"complete","usr_db762d5254","epi_05fa3c96f9","2026-01-23T22:45:40","2567"
"seek","usr_002641109e","epi_b5d6a08b9e","2025-08-24T23:37:39",""
"play","usr_eaa039f7da","epi_ade90eeb13","2025-11-06T03:24:17","5352"
"pause","usr_72cc6caac1","epi_64e8d400e3","2026-02-12T18:09:08",""
"play","usr_6130e5d000","epi_b288b8f71a","2025-07-23T13:36:01","9848"
"complete","usr_664cc6f699","epi_44dcb77b20","2026-01-08T00:12:12","1833"
"play","usr_990c616d8b","epi_2a37101ac0","2025-12-28T00:21:02","2488"
"pause","usr_368c704b2e","epi_7b68a0f8ca","2025-09-11T01:25:47",""
"seek","usr_77e31e8610","epi_645be532b0","2025-12-08T20:39:56",""
"play","usr_da06c64e03","epi_05fa3c96f9","2025-11-14T16:02:03","303"
"complete","usr_b34ffdfc14","epi_20c2e619aa","2025-06-09T23:11:20","2155"
"complete","usr_60a1c7d137","epi_b288b8f71a","2025-04-26T05:22:03","14731"
"seek","usr_63cd0303a9","epi_d952ff83c5","2025-08-18T01:54:47",""
"seek","usr_8efc89e9da","epi_f83f3e3dd3","2025-11-06T15:24:37",""
"seek","usr_61499df046","epi_f3eaa89d33","2025-11-05T20:42:14",""
"pause","usr_89e3ea025b","epi_6deb2bba10","2025-08-18T06:51:30",""
"play","usr_42d79ec20a","epi_73f5593b4b","2025-10-11T20:03:34","1858"
"pause","usr_124466d6c6","epi_888c4c6ce7","2025-12-01T13:33:39",""
"seek","usr_7b45e65081","epi_1bcf507eab","2025-05-10T18:48:35",""
"pause","usr_4e5a277885","epi_df3c63da7d","2025-06-12T15:29:44",""
