user_id,signup_date,country
usr_eba23daeb3,2024-10-04,ES
usr_ebdf1c223e,2024-09-21,ES
usr_fe98394aeb,2024-11-25,IE
usr_63cd0303a9,2024-10-21,IE
usr_ed3afe7d39,2025-10-21,IT
usr_5685c7545e,2025-07-24,ES
usr_10fc7fc9ab,2024-10-31,SE
usr_f93222d103,2024-10-30,SE
usr_da57bb6192,2025-12-24,IT
usr_f561a5932d,2024-10-20,IE
usr_af7af82fa6,2025-12-30,NL
usr_6ca8c43383,2024-10-17,NL
usr_0e31236aa8,2024-06-06,NL
usr_1bf57abea7,2024-06-01,ES
usr_3ca1d6f446,2025-10-29,SE
usr_ef8dfbdace,2025-06-22,ES
usr_990c616d8b,2025-01-07,BR
usr_b9d4cb5d74,2024-10-11,IE
usr_a9237882b1,2025-09-22,IT
usr_f9bfd3d195,2025-07-16,SE
usr_7edf27a75c,2025-08-19,ES
usr_18f33c175a,2025-10-20,PL
usr_9323cd6a9c,2025-02-06,BR
usr_8e00824752,2024-12-08,BR
usr_38d4e6e544,2025-12-10,UK
usr_0d6f5e0a25,2024-11-30,UK
usr_2bd881bd74,2025-02-02,UK
usr_dcb09a5156,2025-02-28,IE
usr_60a1c7d137,2024-10-20,PL
usr_cbf2537377,2024-11-08,IT
usr_dfc7290358,2025-09-27,PL
usr_c2f6f42fa7,2024-12-28,UK
usr_5b7f4b8578,2025-06-26,IT
usr_3104c649ab,2024-10-09,BR
usr_8a0ff8c728,2025-11-05,PL
usr_60219ee1e4,2025-03-23,PL
usr_bebf6b6d3d,2024-10-21,PL
usr_03b1a66d05,2024-06-15,ES
usr_f232fd4eb1,2024-10-30,IT
usr_a00df0ac64,2025-08-25,IE
usr_b3402f0e6b,2025-07-25,NL
usr_26e7e1b5c9,2024-08-29,IE
usr_3d6f6a4408,2025-03-04,SE
usr_bd27472dbe,2025-09-28,ES
usr_18c46c6def,2025-02-01,NL
usr_0d37f4fcdf,2024-08-26,UK
usr_dec6d53c92,2025-02-08,NL
usr_61499df046,2024-07-21,BR
usr_4c7014070e,2025-07-31,BR
usr_2f07185a35,2024-07-05,SE
usr_b634374217,2025-10-13,SE
usr_d611a56736,2025-07-08,UK
usr_a34bff7779,2024-09-04,UK
usr_8416c4dc9f,2024-12-30,UK
usr_3bbc3c1283,2024-10-07,ES
usr_5db7fb20b3,2025-08-31,IT
usr_b31c691c4f,2025-12-28,IE
usr_dcb6d14f0c,2025-02-20,SE
usr_47d94e6bb6,2025-11-15,IE
usr_bef9a45f59,2025-09-08,IE
usr_36890db52d,2024-11-19,UK
usr_b242a066e7,2024-08-03,UK
usr_f1f98f10f4,2024-07-02,BR
usr_fbeee74e9f,2024-09-14,ES
usr_57227933d1,2024-10-14,IE
usr_17374715c0,2025-01-21,IT
usr_9abe85773d,2024-08-05,IE
usr_df58d9f5c2,2025-03-18,IT
usr_0e01d097c8,2025-03-02,NL
usr_e6a5eadf43,2025-05-16,ES
usr_7f3420bdbe,2025-07-26,BR
usr_9ce2a474b0,2025-10-02,IE
usr_4c132c3aee,2025-08-13,NL
usr_3fb995e8d0,2025-01-11,UK
usr_bf539c7e0e,2025-11-16,IT
usr_5ea40a3a6b,2025-04-09,SE
usr_a856782a04,2025-07-18,UK
usr_368c704b2e,2024-06-25,NL
usr_b64643f467,2025-10-02,PL
usr_82020789e9,2025-10-11,UK
usr_993ce4c9a7,2025-10-23,NL
usr_5ef3374993,2025-05-19,PL
usr_cc4287791f,2024-07-05,IE
usr_b1568722ef,2024-06-18,NL
usr_f6c7dce345,2024-08-13,BR
